original_name,technology_name,tech_id,status
NH3_CCGT_El,Ammonia CCGT Electrolysis,TECH_00001,created
NH3_OCGT_El,AmmoniaOpenCycleGasTurbine,TECH_00002,created
CH4_CCGT_El,CH4 CCGT El,TECH_00003,created
CH4_CHP_ElTh,CH4 CHP ElTh,TECH_00004,created
CH4_FuelCell_El,CH4 Fuel Cell El,TECH_00005,created
CH4_FuelCell_ElBdg,CH4 Fuel Cell El,TECH_00005,llm
CH4_OCGT_El,CH4 OCGT Electricity,TECH_00006,created
Geothermal_CHP_ElTh,Geothermal CHP ElTh,TECH_00007,created
H2_CCGT_El,H2 CCGT El,TECH_00008,created
H2_FuelCell_El,H2 Fuel Cell El,TECH_00009,created
H2_FuelCell_ElBdg,H2 Fuel Cell Electricity Building,TECH_00010,created
H2_OCGT_El,Hydrogen Open Cycle Gas Turbine Electricity,TECH_00011,created
El_PumpedHydro_Pump,El Pumped Hydro Pump,TECH_00012,created
Hydro_PumpedTurbine_El,Hydro Pumped Turbine El,TECH_00013,created
Hydro_RunOfRiver_El,Hydro RunOfRiver El,TECH_00014,created
Hydro_Reservoir_El,Hydro Reservoir El,TECH_00015,created
MSW_Incineration_El,MSW Incineration Electricity,TECH_00016,created
Solar_PVAlpine_El,Alpine PV Ground Mounted,TECH_00017,created
Solar_PVRooftop_El,SolarPV Rooftop,TECH_00018,created
U235_Nuclear_El,U235 Nuclear El,TECH_00019,created
Wind_Turbine_El,Wind Turbine El,TECH_00020,created
Wood_CHP_ElTh,Wood CHP,TECH_00021,created
CH4_Boiler_ThBdg,CH4 Boiler Heating Building,TECH_00022,created
CH4_Boiler_ThInd,CH4 Boiler Thermal,TECH_00023,created
El_Heater_ThBdg,El Heater Thermal Building,TECH_00024,created
El_Heater_ThInd,El Heater Thermal,TECH_00025,created
El_AirCon_ThSc,El Heat Pump Thermal Storage,TECH_00026,created
H2_Boiler_ThInd,H2 Boiler Thermal,TECH_00027,created
El_HeatPump_ThBdg,El Heat Pump Thermal Storage,TECH_00026,llm
El_HeatPump_ThInd,El Heat Pump District Heating,TECH_00028,created
Oil_Boiler_ThBdg,Oil Boiler Thermal Building,TECH_00029,created
Oil_Boiler_ThInd,Oil Boiler Thermal Power Plant,TECH_00030,created
Wood_Boiler_ThBdg,WoodBoilerBuilding,TECH_00031,created
Wood_Boiler_ThInd,Wood Boiler Thermal,TECH_00032,created
H2_HaberBosch_NH3,HaberBosch Ammonia Synthesis,TECH_00033,created
BioWet_Digestion_CH4,Wet Anaerobic Digestion CH4,TECH_00034,created
H2_Sabatier_CH4,H2 Sabatier CH4,TECH_00035,created
CookingOil_HEFA_C12,HydrotreatedCookingOilHEFA,TECH_00036,created
H2_CO2Hydro_MeOH,H2 CO2 Hydrogenation Methanol,TECH_00037,created
H2_RWGS_CO,HydrogenReverseWaterGasShiftCarbonMonoxide,TECH_00038,created
El_Electrolysis_H2,El Electrolysis Alkaline,TECH_00039,created
Syngas_FT_C12,Syngas FT C12,TECH_00040,created
Syngas_FT_C8,Syngas Fischer-Tropsch C8,TECH_00041,created
Syngas_COHydro_CH4,Syngas CO Hydrogenation Methane,TECH_00042,created
Syngas_COHydro_MeOH,Syngas CO Hydrogenation Methanol,TECH_00043,created
MSW_Gasification_Syngas,MSW Gasification Syngas,TECH_00044,created
MSW_Gasification_H2,MSWGasificationToHydrogen,TECH_00045,created
Wood_Gasification_H2,Wood Gasification H2,TECH_00046,created
Wood_Gasification_Syngas,Woody Gasification Syngas,TECH_00047,created
MeOH_MtJ_C12,MeOH to Jet Hydrotreatment C12,TECH_00048,created
El_CoElectrolysis_Syngas,El CoElectrolysis Syngas,TECH_00049,created
CH4_Pyrolysis_H2,CH4 Pyrolysis H2,TECH_00050,created
CO2Flue_AmineScrub_CO2,CO2 Post Combustion Amine Scrubbing,TECH_00051,created
BioWet_Pyrolysis_Biochar,BioWet Pyrolysis Biochar,TECH_00052,created
Air_DAC_CO2,DirectAirCaptureCO2,TECH_00053,created
CO2Flue_PSA_CO2,CO2FluePSA,TECH_00054,created
Wood_Pyrolysis_Biochar,Wood Pyrolysis Biochar,TECH_00055,created
ElBdg_Battery_ElBdg,ElBdg Battery ElBdg,TECH_00056,created
El_Battery_El,El Battery El,TECH_00057,created
Hydro_PumpedReservoir_Hydro,Pumped Hydro Reservoir,TECH_00058,created
Hydro_Reservoir_Hydro,Hydro Reservoir Storage,TECH_00059,created
Th_HeatStore_Th,Thermal Heat Store,TECH_00060,created
Th_HotWaterTank_Th,Thermal Hot Water Tank,TECH_00061,created
Th_SeasonalStore_Th,Thermal Seasonal Storage,TECH_00062,created
H2_Tank_H2,Hydrogen Tank,TECH_00063,created
CH4_GridStorage_CH4,Methane Pipeline Storage,TECH_00064,created
CH4_Tank_CH4,Compressed Methane Tank,TECH_00065,created
CH4_Underground_CH4,Underground Methane Storage,TECH_00066,created
CO2_Tank_CO2,CO2 Tank,TECH_00067,created
CO_Tank_CO,CO2 Tank,TECH_00067,llm
C12_Tank_C12,C12Tank,TECH_00068,created
C8_Tank_C8,C8 Tank C8,TECH_00069,created
NH3_Tank_NH3,Ammonia Storage Tank,TECH_00070,created
